,Company Name,Category,url,address,city,contact_link,delivery_link,email,facebook,faq_link,linkedin,phones,pinterest,privacy_link,return_link,state,terms_link,twitter,warranty_link,youtube
0,Tauck,Cruises and Ships,https://www.tauck.com/,,,,,,,,,,,,,,,,,
1,Glamourtress,Beauty Supplies and Equipment,https://www.glamourtress.com/,,,,,,https://www.glamourtress.com//facebook.com/GlamourtressGA,,,404.696.1818,,,,,,https://www.glamourtress.com//twitter.com/Glamourtress,,https://www.glamourtress.com//www.youtube.com/channel/UCltWK-4uy6phx8GIGXQlzPQ
2,Joybuy,Gadgets and Accessories,https://www.joybuy.com/,,,,,,https://www.joybuy.com//www.facebook.com/pages/JDCOM/861644700572405,,,,https://www.joybuy.com//www.pinterest.com/joybuycom,,,,,,,https://www.joybuy.com//www.youtube.com/channel/UCz0czPh8bM7RURYohNoce7w
3,Joybuy,Appliances and Electronics,https://www.joybuy.com/,,,,,,https://www.joybuy.com//www.facebook.com/pages/JDCOM/861644700572405,,,,https://www.joybuy.com//www.pinterest.com/joybuycom,,,,,,,https://www.joybuy.com//www.youtube.com/channel/UCz0czPh8bM7RURYohNoce7w
4,UK Essays,Writing and Editing Services,https://www.ukessays.com/,,,https://www.ukessays.com//contact/cookie-info.php,,,https://www.facebook.com/UKEssays,,https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.ukessays.com%2F&source=UKEssays,,,https://www.ukessays.com//contact/privacy-policy.php,,,,https://twitter.com/UKEssays,https://www.ukessays.com//guarantees.php,
5,Waitr,Food Delivery,https://waitrapp.com/,,,https://waitrapp.com//contact-us,,,https://www.facebook.com/waitrapp/,,https://www.linkedin.com/company/waitr-inc-,,https://www.pinterest.com/Waitrapp,https://waitrapp.com//privacy-policy,,,,https://twitter.com/waitrapp,,https://www.youtube.com/channel/UCrAjic7t93jZfVCoGwc1-ow
6,Crystal Cruises,Cruises and Ships,https://www.crystalcruises.com/,,,https://www.crystalcruises.com//faqs/contact-crystal#,https://www.crystalcruises.com//ships,,https://www.facebook.com/crystalcruises,https://www.crystalcruises.com//faqs/contact-crystal#,,"800 600 108
",https://ar.pinterest.com/crystalcruises/,https://www.crystalcruises.com//legal/global-privacy-policy,,,,https://twitter.com/crystalcruises,,https://www.youtube.com/crystalcruises
7,Flixbus,Transport,https://www.flixbus.com/,,,https://www.flixbus.com//service/contact-us,,,https://www.facebook.com/FlixBus,https://www.flixbus.com//service/faq,https://de.linkedin.com/company/flixbus,(855) 626-8585,,https://www.flixbus.com/privacy-policy,,,https://www.flixbus.com//general-terms-business-and-booking-conditions,https://twitter.com/FlixBus,,http://www.youtube.com/user/EinfachBusfahren?feature=watch
8,Honestbee,Food Delivery,https://honestbee.sg/,,,,,,,,,,,,,,,,,
9,J And T Express Philippines,Transportation and Logistics,http://jtexpress.ph/,,,,,,,,,,,,,,,,,
10,Mac Tools,Building Products,https://www.mactools.com/,,,,,,,,,,,,,,,,,
11,Morris 4x4 Center,Auto Parts and Accessories,https://www.morris4x4center.com/,,,,,,,,,,,,,,,,,
12,Peloton,Sport Equipment and Accessories,https://www.onepeloton.com/,,,,,,,,,,,,,,,,,
13,SkipTheDishes,Food Delivery,https://www.skipthedishes.com/,,,https://www.skipthedishes.com//contact,,,https://www.facebook.com/skipthedishes,https://www.skipthedishes.com//faq,,,,https://www.skipthedishes.com//privacy-policy,,,https://www.skipthedishes.com//terms-of-service,http://twitter.com/skipthedishes,,https://www.youtube.com/channel/UCspnBbuz5iyHAB5H0-KbOiQ
14,Textbookrush,Periodicals & Publishing,https://www.textbookrush.com/,,,https://www.textbookrush.com//help/contact-textbookrush.aspx,,,https://www.facebook.com/TextbookRush,https://www.textbookrush.com//help/faq/marketplace-seller-faq.aspx,,,https://pinterest.com/textbookrush/,,https://www.textbookrush.com//help/policies/return-policy.aspx,,,https://twitter.com/TextbookRush,,https://www.youtube.com/textbooksruscom
15,Wyzant,Education,https://www.wyzant.com/,,,https://www.wyzant.com//contactus,,,http://www.facebook.com/Wyzant,,http://www.linkedin.com/company/wyzant-tutoring,(312) 646-6365,,https://www.wyzant.com//privacypolicy,,,https://www.wyzant.com//termsofuse,,,
16,Alpin Haus RV,Dealers,https://www.alpinhausrv.com/,,,https://www.alpinhausrv.com/contact/,,,https://www.facebook.com/AlpinHaus,,,"(518) 656-0014
(845) 203-8539
(518) 800-2132
(518) 656-0014
(845) 203-8539
(518) 800-2132",https://www.pinterest.com/alpinhaus/,https://www.alpinhausrv.com//privacy-policy/,,,https://www.alpinhausrv.com//terms-of-use/,https://twitter.com/alpinhaus,https://www.alpinhausrv.com/rv-warranty-forever/,https://www.youtube.com/playlist?list=PLxC9y2KFqd2JzModXbsotAo0s6th9W9IY
17,AMA Travel,Cruises and Ships,https://www.amatravel.ca/,,,,,,,,,,,,,,,,,
18,American Sale,Supermarkets and Malls,https://www.americansale.com/,,,https://www.americansale.com//pages/contact-us,https://www.americansale.com//pages/check-delivery-status,,https://www.facebook.com/americansale,https://www.americansale.com//pages/faq,,,https://pinterest.com/americansale/,,,,https://www.americansale.com//pages/terms-and-conditions,https://twitter.com/americansale,https://www.americansale.com//pages/price-match-guarantee,https://www.youtube.com/user/AmericanSaleStore
19,Avalon Waterways,Cruises and Ships,https://www.avalonwaterways.com/,,,,,,http://www.facebook.com/AvalonWaterways,,,,http://pinterest.com/avalonwaterways/,,,,,,,http://www.youtube.com/avalonwaterways
20,Azamara Club Cruises,Cruises and Ships,https://www.azamara.com/,,,,,,,,,,,,,,,,,
21,Backblaze,Software,https://www.backblaze.com/,,,,,,,,,,,,,,,,,
22,BetAmerica,Gambling and Lotto,https://www.betamerica.com/,,,,,,https://www.facebook.com/betamerica,,,,,,,,,https://www.twitter.com/betamerica,,
23,Big Cartel,Auctions and Marketplaces,https://www.bigcartel.com/,,,,,,https://www.facebook.com/bigcartel,,,,https://www.pinterest.com/big_cartel,,,,,https://twitter.com/bigcartel,,https://www.youtube.com/channel/UCnsw2meCtc5XGnJ5-bpgzTQ
24,Caresource,Insurance,https://www.caresource.com/,,,https://www.caresource.com/about-us/contact-us/,https://www.caresource.com/about-us/executive-leadership/,,http://www.facebook.com/caresource,https://www.caresource.com/about-us/caresource-foundation/foundation-faqs/,http://www.linkedin.com/company/caresource-management-group,,,,,,https://www.caresource.com/about-us/legal/terms-and-conditions/,https://www.twitter.com/caresource,,http://www.youtube.com/user/ourhealthcaresource
25,Cargiant,Dealers,https://www.cargiant.co.uk/,44-45 Hythe Road White City LOND,,,,,https://www.facebook.com/Cargiantuk,,,,,,,,https://www.cargiant.co.uk//terms-conditions,https://twitter.com/cargiant,,
26,Chicken Express,Fast Food,https://chickene.com/,,,https://chickene.com/contact-us/,,,https://www.facebook.com/chickenexpress,,,,,,,,,https://twitter.com/Chicken_Express,,
27,Coast Appliances,Appliances and Electronics,https://www.coastappliances.com/,,,,https://www.coastappliances.com//services/shipping-delivery-hauling,,https://www.facebook.com/coastappliances/,,,604-321-6644,,,https://www.coastappliances.com//return-policy,,https://www.coastappliances.com//terms-and-conditions,https://twitter.com/CoastAppliances,https://www.coastappliances.com//services/price-match-guarantee,
28,Cornerstone Hospice,"Hospitals, Clinics and Medical Centers",https://web.cshospice.org/,,,https://web.cshospice.org/contact/,https://web.cshospice.org/about-us/leadership-team/,,https://www.facebook.com/CornerstoneHospice/,,,866-742-6655,,,,,,,,https://www.youtube.com/channel/UCJnPX_pPzerD_cm0ZCnkDrg
29,Cosmos Travel,Travel,https://www.cosmos.com/,,,https://www.cosmos.com//contact-us/,,,https://www.facebook.com/cosmos,,,,,,,,,,,https://www.youtube.com/user/GlobusFamily
30,Curtis Stone,Kitchen and Cooking,http://www.curtisstone.com/,,,http://www.curtisstone.com//contact,,,http://www.facebook.com/ChefCurtisStone,,,,http://www.pinterest.com/pin/160792649173332204/,,,,http://www.curtisstone.com//terms-conditions,http://twitter.com/curtis_stone,,
31,Davis Instruments,Water Transport,https://www.davisinstruments.com/,,,,,,,,,,,,,,,,,
32,Drury Hotels,Hotels and Resorts,https://www.druryhotels.com/,,,https://www.druryhotels.com//contact,,,https://www.facebook.com/Druryhotels,https://www.druryhotels.com//content/faqs,,(800-378-7946),,https://www.druryhotels.com//home/privacypolicy,,,https://www.druryhotels.com//home/termsofservice,https://twitter.com/Druryhotels,,
33,Echo Global Logistics,Transportation and Logistics,https://www.echo.com/,,,https://www.echo.com//contact/,https://www.echo.com//technology/echoship,,https://www.echo.com//www.facebook.com/EchoLogistics,,https://www.echo.com//www.linkedin.com/company/8914?trk=tyah,,,https://www.echo.com//privacypolicy,,,https://www.echo.com//termsandconditions,https://www.echo.com//twitter.com/#!/EchoLogistics,,https://www.echo.com//www.youtube.com/channel/UCq-lEBqwArYa8okQM6u899w
34,Fabfitfun,Cosmetics and Personal Care,https://fabfitfun.com/,,,,,,,,,,,,,,,,,
35,Fiesta Mart,Supermarkets and Malls,https://www.fiestamart.com/,,,https://www.fiestamart.com/contact/,,,https://www.facebook.com/Fiesta-Mart-Inc-73701093654/,,https://www.linkedin.com/company/2524688/,,,,,,https://www.fiestamart.com//terms-and-conditions,https://twitter.com/FiestaMart,,https://www.youtube.com/channel/UCcHZnFxwSzWpNKenFTuKHRQ
36,Foodland,Food Stores,https://www.foodland.com/,,,https://www.foodland.com//contact-us,,,http://www.facebook.com/FoodlandHawaii,https://www.foodland.com//faq-page,,,,https://www.foodland.com//privacy-policy,,,,http://twitter.com/FoodlandHI,https://www.foodland.com/shop/certified-angus-beef-prime-rib-dinner,https://www.youtube.com/user/FoodlandHawaii
37,Giant Fitness,Fitness Centers,https://giantfitnessclubs.com/,,,https://giantfitnessclubs.com/contact/,https://giantfitnessclubs.com/memberships/,,https://www.facebook.com/GiantFitnessClubs/,,,,,,,,,,,
38,Ride GoBus,Transport,https://ridegobus.com/,,,https://ridegobus.com/contact-us/,,,https://www.facebook.com/ridegobus,https://ridegobus.com/faqs/,,,,,,,,https://twitter.com/ridegobus,,
39,GrabFood,Food Delivery,https://www.grab.com/my/food/,,,,https://www.grab.com/my/food//my/business/partnerships/,,https://www.facebook.com/Grab,,,,,https://www.grab.com/my/terms-policies/privacy-policy/,,,,https://twitter.com/grabmy,,
40,Gravely,Landscaping and Gardening,https://www.gravely.com/en-us,,,,,,http://www.facebook.com/Gravely,,,,,,,,,http://twitter.com/GravelyMowers,https://www.gravely.com/en-us/en-us/support/warranty,https://www.youtube.com/watch?v=La-Cwhff7eY
41,Holman Automotive,Dealers,http://www.holmanauto.com/,,,,,,,,,,,,,,,,,
42,IELTS,Education,https://www.ielts.org/,,,https://www.ielts.org//info-pages/contact-us,,,https://www.facebook.com/IELTSOfficial?utm_source=website&utm_medium=homepage&utm_campaign=facebook,,https://www.linkedin.com/company/ielts-official/,,,https://www.ielts.org//policy/privacy-policy,,,,,,https://www.youtube.com/user/IELTSOfficial?utm_source=website&utm_medium=homepage&utm_campaign=youtube
43,Jets Pizza,Fast Food,https://www.jetspizza.com/,"37501 Mound Road, Sterling Heights, MI 48310",,https://www.jetspizza.com//contact,,,https://www.facebook.com/JetsPizza,,,,https://www.pinterest.com/jetspizza,,,,,,,https://www.youtube.com/user/jetspizza
44,JRS Express,Transportation and Logistics,http://www.jrs-express.com/,,,,,,,,,,,,,,,,,
45,Kentucky Gun Co,Weapons,https://www.kygunco.com/,"401 Glenwood Drive Bardstown, KY 40004",,,https://www.kygunco.com//home/shippinginfo,,https://www.facebook.com/kentuckygunco/,https://www.kygunco.com//home/faq,,,,,,,,https://twitter.com/kygunco,,https://www.youtube.com/channel/UCSpG73Z1l3Wwu7GW7R31R6w
46,Knox Pest Control,Pest Control and Services,https://knoxpest.com/,"8158 Fortson Business Park Boulevard Columbus, GA 31909",,https://knoxpest.com//contact/current-customers/pay-my-bill,,,https://www.facebook.com/knoxpest/ ,,,"877-566-9737
706-660-1577",,,,,,http://www.twitter.com/KnoxPestCtrl ,https://knoxpest.com//contact/ask-certified-entomologist,
47,LiveAquaria,Pet Stores,https://www.liveaquaria.com/,,,,,,,,,,,,,,,,,
48,Logans Roadhouse,"Cafes, Restaurants and Bars",https://logansroadhouse.com/,,,https://logansroadhouse.com/contact-us/,,,https://www.facebook.com/Logans.Roadhouse,,https://www.linkedin.com/shareArticle?mini=true&url=https://www.instagram.com/p/B5Yf4HmFu9W/,,,,,,,https://twitter.com/logansroadhouse,,
49,Mattress Factory,Bed and Bath,https://www.mattress.org/,505 Jacksonia StreetPittsburgh PA 15212,,https://mattress.org/content/contact-mf,https://www.mattress.org//membership,,http://www.facebook.com/MattressFactory,,,,,,,,,http://twitter.com/MattressFactory,,http://www.youtube.com/user/MattressFactory
50,Metro Guard Termite and Pest Control,Pest Control and Services,https://www.gotbugs.com/,,,https://www.gotbugs.com/contact-us/,,,http://www.facebook.com/pages/Metro-Guard-Termite-Pest-Control/291766160894517,https://www.gotbugs.com/faqs/,,,,,,,,,,
51,Mirraw,E-commerce,https://www.mirraw.com/,,,,https://www.mirraw.com//collections/ready-to-ship,,https://facebook.com/MirrawDesigns,https://www.mirraw.com//pages/faq,,,,,,,,https://twitter.com/MirrawDesigns,,
